"inquisit.version","computer.platform","startdate","starttime","subjectid","groupid","sessionid","elapsedtime","completed","lstotalearnings","totalearnings","ballooncount","total_explosions","lstotaltrialexplosions","nonexplodedballoons","totalpumpcount","lstotalpumpcount","averagepumpcount","adjustedtotalpumpcount","adjustedaveragepumpcount"
"6.6.1","win","2023-09-07","10:49:36","R_qwmKQ5XKqqrFdYt","979721807","1","581204","1","/0/25/35/0/0/0/15/25/15/25","140","10","3","/1/0/0/1/0/1/0/0/0/0","7","35","/1/5/7/5/0/1/3/5/3/5","3.50","28","4"
"6.6.1","win","2023-09-07","13:52:46","R_2pWvhAZM3qWFQ4n","979721834","1","190198","1","/70/65/0/0/15/0/45/0/0/35","230","10","5","/0/0/1/1/0/0/0/1/1/0","5","87","/14/13/17/6/3/7/9/10/1/7","8.70","46","9.1999999999999992895"
"6.6.1","win","2023-09-07","12:54:33","R_1hASHBtQH5yB0Zr","979721857","1","77460","1","/25/25/30/30/40/45/55/0/0/50","300","10","2","/0/0/0/0/0/0/0/1/1/0","8","77","/5/5/6/6/8/9/11/13/4/10","7.70","60","7.5"
"6.6.3","and","2023-09-07","13:53:48","R_3Dd3Xsto9gPQ4Af","979721854","1","123083","1","/5/10/15/0/5/10/15/20/25/0","105","10","2","/0/0/0/1/0/0/0/0/0/1","8","26","/1/2/3/2/1/2/3/4/5/3","2.6000000000000000888","21","2.625"
"6.6.1","win","2023-09-07","13:57:10","R_3maYYTlreuUAFgw","979721870","1","51900","1","/0/25/0/25/30/40/50/0/85/100","355","10","3","/1/0/0/0/0/0/0/1/0/0","7","76","/1/5/3/5/6/8/10/1/17/20","7.60","71","10.1428571428571423496"
"6.6.1","win","2023-09-07","13:54:31","R_3kb4pyUrL713MGg","979721847","1","99203","1","/0/0/75/0/75/0/75/75/0/80","380","10","5","/1/1/0/1/0/1/0/0/1/0","5","133","/25/3/15/5/15/17/15/15/7/16","13.30","76","15.1999999999999992895"
"6.6.1","win","2023-09-07","13:54:12","R_2WH9JE3qDbUUn9u","979721848","1","123185","1","/25/0/0/30/20/25/50/0/60/30","240","10","3","/0/0/1/0/0/0/0/1/0/0","7","59","/5/7/3/6/4/5/10/1/12/6","5.90","48","6.8571428571428567622"
"6.6.1","win","2023-09-07","13:53:44","R_2cedz6SEEpsoQwd","979721853","1","165845","1","/5/20/35/45/0/25/25/40/35/40","270","10","1","/0/0/0/0/1/0/0/0/0/0","9","55","/1/4/7/9/1/5/5/8/7/8","5.50","54","6"
"6.6.3","and","2023-09-07","13:54:54","R_SCs1rQNDV01YLsd","979721867","1","104523","1","/40/50/60/0/55/65/0/60/65/60","455","10","2","/0/0/0/1/0/0/1/0/0/0","8","100","/8/10/12/5/11/13/4/12/13/12","0.00","91","11.375"
"6.6.1","mac","2023-09-07","13:55:41","R_Xjg9oiHNkcbao7f","979721876","1","59797","1","/25/0/25/25/25/25/25/0/25/25","200","10","2","/0/1/0/0/0/0/0/1/0/0","8","48","/5/5/5/5/5/5/5/3/5/5","4.80","40","5"
"6.6.1","win","2023-09-07","13:55:34","R_1gcgFcZF0qmbijO","979721861","1","71867","1","/0/50/0/50/0/45/0/50/55/40","290","10","4","/1/0/1/0/1/0/0/0/0/0","6","86","/10/10/9/10/1/9/8/10/11/8","8.60","58","9.6666666666666660745"
"6.6.1","win","2023-09-07","13:55:19","R_26gXtwprsbog0yx","979721871","1","87236","1","/75/60/75/75/0/0/50/50/75/0","460","10","3","/0/0/0/0/1/0/0/0/0/1","7","116","/15/12/15/15/9/10/10/10/15/5","11.5999999999999996447","92","13.1428571428571423496"
"6.6.1","win","2023-09-07","12:54:53","R_2qlMOtqdHJyzKJT","979721864","1","117230","1","/15/20/30/0/25/35/0/25/30/25","205","10","2","/0/0/0/1/0/0/0/0/0/0","8","52","/3/4/6/5/5/7/6/5/6/5","5.20","41","5.125"
"6.6.1","win","2023-09-07","13:54:10","R_BGmDz7FzxyVsIUh","979721855","1","161796","1","/0/60/30/70/0/40/0/60/0/60","320","10","4","/1/0/0/0/1/0/1/0/1/0","6","102","/2/12/6/14/13/8/1/12/22/12","10.20","64","10.6666666666666660745"
"6.6.1","win","2023-09-07","13:55:21","R_3KDPgLdKFmGqg3z","979721868","1","97599","1","/0/0/25/40/50/0/75/0/60/75","325","10","4","/1/1/0/0/0/1/0/1/0/0","6","102","/4/7/5/8/10/22/15/4/12/15","10.20","65","10.8333333333333339255"
"6.6.1","win","2023-09-07","12:55:47","R_bkm89b30esCVrz3","979721869","1","80958","1","/0/0/0/35/0/35/0/50/30/40","190","10","5","/1/1/1/0/1/0/1/0/0/0","5","90","/31/2/8/7/8/7/3/10/6/8","0.00","38","7.5999999999999996447"
"6.6.1","win","2023-09-07","13:55:50","R_2V2RSnEd9tBEt2A","979721872","1","89176","1","/40/80/100/0/100/130/0/0/0/125","575","10","4","/0/0/0/0/0/0/1/1/1/0","6","163","/8/16/20/27/20/26/17/1/3/25","16.30","115","19.1666666666666678509"
"6.6.1","win","2023-09-07","12:55:31","R_xDVxkmEXyJMKAkF","979721845","1","110143","1","/0/15/60/60/0/0/70/100/75/100","480","10","3","/1/0/0/0/1/1/0/0/0/0","7","111","/4/3/12/12/10/1/14/20/15/20","11.10","96","13.7142857142857135244"
"6.6.1","win","2023-09-07","12:55:58","R_22KtHFf6wcIr8zF","979721874","1","84862","1","/0/75/85/0/0/100/100/0/100/0","460","10","5","/1/0/0/1/1/0/0/1/0/1","5","164","/15/15/17/15/5/20/20/10/20/27","16.3999999999999985789","92","18.3999999999999985789"
"6.6.1","mac","2023-09-07","13:55:35","R_2rZxJykp6Yyzv0e","979721849","1","119563","1","/45/30/40/0/35/40/15/35/30/0","270","10","2","/0/0/0/1/0/0/0/0/0/1","8","62","/9/6/8/3/7/8/3/7/6/5","6.2000000000000001776","54","6.75"
"6.6.1","win","2023-09-07","13:54:37","R_qQmlxo3xbEB4QKt","979721859","1","170029","1","/100/0/0/0/25/40/50/100/100/100","515","10","3","/0/1/1/1/0/0/0/0/0/0","7","117","/20/3/8/3/5/8/10/20/20/20","11.70","103","14.7142857142857135244"
"6.6.1","win","2023-09-07","13:56:01","R_1mJBant7N9QU2WV","979721880","1","93312","1","/35/0/25/40/0/0/30/35/40/50","255","10","3","/0/1/0/0/1/1/0/0/0/0","7","69","/7/4/5/8/8/6/6/7/8/10","6.90","51","7.2857142857142855874"
"6.6.1","win","2023-09-07","10:55:37","R_OsdnUQ6t9XnPzUJ","979721875","1","126788","1","/0/30/0/30/40/45/100/0/0/60","305","10","4","/1/0/1/0/0/0/0/1/1/0","6","87","/3/6/2/6/8/9/20/18/3/12","8.70","61","10.1666666666666660745"
"6.6.1","win","2023-09-07","12:56:24","R_r7rBa1vab90f01r","979721850","1","89936","1","/0/10/15/25/25/30/15/35/0/25","180","10","2","/1/0/0/0/0/0/0/0/1/0","8","42","/3/2/3/5/5/6/3/7/3/5","4.20","36","4.5"
"6.6.1","win","2023-09-07","13:57:32","R_3niMzlvhfjvsLBS","979721891","1","31614","1","/25/25/0/20/30/30/35/0/25/25","215","10","2","/0/0/1/0/0/0/0/1/0/0","8","50","/5/5/1/4/6/6/7/6/5/5","0.00","43","5.375"
"6.6.1","mac","2023-09-07","13:57:49","R_Z1WExdJVI5Teohz","979721888","1","30838","1","/30/50/0/0/30/0/0/25/20/25","180","10","3","/0/0/1/0/0/1/1/0/0/0","7","53","/6/10/10/0/6/1/6/5/4/5","5.30","36","5.1428571428571432378"
"6.6.1","win","2023-09-07","13:57:08","R_11dbochq3fYxRIM","979721879","1","75603","1","/0/0/0/0/0/0/0/0/0/0","0","10","10","/1/1/1/1/1/1/1/1/1/1","0","178","/8/23/32/9/4/32/19/17/24/10","17.8000000000000007105","0","0"
"6.6.1","win","2023-09-07","13:57:39","R_3mjxtmGbxGJ5G0p","979721893","1","59289","1","/0/85/0/90/40/45/110/45/0/75","490","10","3","/1/0/1/0/0/0/0/0/1/0","7","137","/8/17/23/18/8/9/22/9/8/15","13.70","98","14"
"6.6.1","win","2023-09-07","13:56:30","R_3hhwlmKmElJbEUz","979721878","1","135102","1","/0/40/20/0/0/15/25/30/35/30","195","10","3","/1/0/0/1/1/0/0/0/0/0","7","54","/7/8/4/4/4/3/5/6/7/6","5.40","39","5.5714285714285711748"
"6.6.1","mac","2023-09-07","10:57:31","R_3itb4HMIPdt67L6","979721866","1","84669","1","/15/45/15/20/0/35/30/40/0/0","200","10","3","/0/0/0/0/0/0/0/0/1/1","7","53","/3/9/3/4/5/7/6/8/1/7","5.2999999999999998224","40","5.7142857142857144126"
"6.6.1","win","2023-09-07","10:55:27","R_3037Ya4AU2vYIOj","979721865","1","208804","1","/50/0/30/0/75/120/0/150/0/0","425","10","5","/0/1/0/1/0/0/1/0/1/1","5","158","/10/12/6/10/15/24/19/30/15/17","15.8000000000000007105","85","17"
"6.6.1","win","2023-09-07","13:57:29","R_2EcWC3d7z0gxPf9","979721881","1","81411","1","/65/80/90/0/0/100/0/0/0/0","335","10","6","/0/0/0/1/1/0/1/1/1/1","4","120","/13/16/18/17/1/20/10/6/16/3","12","67","16.75"
"6.6.1","mac","2023-09-07","13:56:42","R_1o0gbYBS9J9U5H","979721883","1","153458","1","/40/30/0/0/40/20/50/80/40/60","360","10","2","/0/0/1/1/0/0/0/0/0/0","8","79","/8/6/5/2/8/4/10/16/8/12","7.90","72","9"
"6.6.1","win","2023-09-07","10:56:57","R_2qz3lOTVcVcyp1T","979721877","1","142640","1","/50/50/50/0/55/0/0/0/10/20","235","10","4","/0/0/0/1/0/1/1/1/0/0","6","76","/10/10/10/10/11/9/5/5/2/4","7.60","47","7.8333333333333330373"
"6.6.0","win","2023-09-07","12:57:15","R_2D6QR4PmNSpBfCK","979721887","1","145770","1","/20/20/25/35/45/70/0/80/0/55","350","10","2","/0/0/0/0/0/0/1/0/1/0","8","97","/4/4/5/7/9/14/15/16/12/11","9.70","70","8.75"
"6.6.1","mac","2023-09-07","10:59:30","R_4Pe6dRXmBuRm0ql","979721904","1","37401","1","/0/0/0/0/15/30/45/40/0/30","160","10","5","/1/1/0/1/0/0/0/0/1/0","5","56","/4/5/8/2/3/6/9/8/5/6","5.60","32","6.4000000000000003553"
"6.6.1","win","2023-09-07","13:59:04","R_1IWSixJ8i5Dlsnd","979721900","1","68306","1","/50/40/40/50/40/40/45/40/0/0","345","10","2","/0/0/0/0/0/0/0/0/1/0","8","78","/10/8/8/10/8/8/9/8/9/0","7.7999999999999998224","69","8.625"
"6.6.0","win","2023-09-07","10:58:49","R_tWYvmU9JFtAIJjP","979721895","1","79148","1","/0/0/0/10/15/20/10/0/0/15","70","10","5","/1/1/1/0/0/0/0/1/1/0","5","26","/3/4/1/2/3/4/2/3/1/3","2.60","14","2.7999999999999998224"
"6.6.1","win","2023-09-07","10:57:02","R_3Eu9NLDarHOf13a","979721886","1","192268","1","/35/0/0/25/35/40/50/70/50/90","395","10","2","/0/1/1/0/0/0/0/0/0/0","8","96","/7/10/7/5/7/8/10/14/10/18","9.60","79","9.875"
"6.6.1","win","2023-09-07","12:58:53","R_2uwSDpvHOI5zoiP","979721899","1","95610","1","/25/15/40/30/40/50/80/90/95/0","465","10","1","/0/0/0/0/0/0/0/0/0/1","9","95","/5/3/8/6/8/10/16/18/19/2","9.5","93","10.3333333333333339255"
"6.6.1","win","2023-09-07","10:59:29","R_3hzlCZoRAIi9ioP","979721902","1","59511","1","/50/100/100/0/0/0/50/0/0/0","300","10","6","/0/0/0/1/1/1/0/1/1/1","4","108","/10/20/20/4/7/6/10/2/13/16","10.8000000000000007105","60","15"
"6.6.1","win","2023-09-07","12:58:29","R_2rl67B2R6LQYHq5","979721890","1","123431","1","/15/5/10/15/0/15/5/10/5/0","80","10","2","/0/0/0/0/1/0/0/0/0/1","8","20","/3/1/2/3/1/3/1/2/1/3","2","16","2"
"6.6.1","win","2023-09-07","12:59:03","R_2zA4Hwj3gMx0mrI","979721885","1","112565","1","/25/35/40/50/0/40/0/0/25/0","215","10","2","/0/0/0/0/0/0/0/1/0/0","8","45","/5/7/8/10/0/8/0/2/5/0","4.50","43","5.375"
