"inquisit.version","computer.platform","startdate","starttime","subjectid","groupid","sessionid","elapsedtime","completed","exp_condition","releasecondition","weathercondition","maxnr_fishinpond","maxnr_trips","fixedsampling","reward","total_winnings","lstotalearnings","tripcount","successtrip","totalfishingcount","lstotalfishingcount","adj_totalfishingcount","total_suddenends","lstotalend","avg_fishingcount","adjavg_fishingcount","mean_castlatency"
"6.6.3","and","2023-09-07","13:28:02","R_TcNY7CRO7da9aAF","979721720","1","116965","1","1","1","1","32","10","0","5","270","/0/75/0/0/55/80/0/0/60/0","10","4","130","/6/15/19/7/11/16/14/14/12/16","54","6","/1/0/1/1/0/0/1/1/0/1","13","13.5","3204.875"
"6.6.1","win","2023-09-07","12:30:51","R_ebScPbJ21gXxA09","979721736","1","35761","1","1","1","1","32","10","0","5","190","/20/20/10/20/20/20/20/20/20/20","10","10","38","/4/4/2/4/4/4/4/4/4/4","38","0","/0/0/0/0/0/0/0/0/0/0","3.7999999999999998224","3.7999999999999998224","3992"
"6.6.1","win","2023-09-07","12:31:03","R_306oRkMPTYICJiK","979721729","1","60766","1","1","1","1","32","10","0","5","325","/50/80/40/0/25/40/0/25/25/40","10","8","76","/10/16/8/7/5/8/4/5/5/8","65","2","/0/0/0/1/0/0/1/0/0/0","7.5999999999999996447","8.125","4046"
"6.6.1","mac","2023-09-07","11:31:37","R_2X1zDsbJBHlozDZ","979721724","1","73999","1","1","1","1","32","10","0","5","290","/15/10/10/0/0/10/40/50/50/105","10","8","63","/3/2/2/2/3/2/8/10/10/21","58","2","/0/0/0/1/1/0/0/0/0/0","6.2999999999999998224","7.25","2129.4285714285715584992"
"6.6.1","win","2023-09-07","10:32:08","R_ZIcXZwugiD3cUxP","979721730","1","47923","1","1","1","1","32","10","0","5","115","/10/15/10/0/10/5/20/25/0/20","10","9","29","/2/3/2/0/2/1/4/5/6/4","23","1","/0/0/0/0/0/0/0/0/1/0","2.8999999999999999112","2.5555555555555553582","4072.75"
"6.6.1","win","2023-09-07","13:32:34","R_2S0oGiH2FalMO26","979721742","1","49746","1","1","1","1","32","10","0","5","395","/90/55/0/0/0/40/70/55/50/35","10","8","97","/18/11/13/0/5/8/14/11/10/7","79","2","/0/0/1/0/1/0/0/0/0/0","9.6999999999999992895","9.875","3180.5714285714284415008"
"6.6.1","win","2023-09-07","13:32:10","R_3FPXuWZxbNxfawU","979721727","1","76048","1","1","1","1","32","10","0","5","190","/0/0/10/65/0/25/20/30/40/0","10","6","57","/8/2/2/13/5/5/4/6/8/4","38","4","/1/1/0/0/1/0/0/0/0/1","5.7000000000000001776","6.3333333333333330373","9272.25"
"6.6.1","win","2023-09-07","12:32:42","R_3CZ6Hy5k7A2Icpm","979721728","1","75011","1","1","1","1","32","10","0","5","425","/0/80/0/0/75/0/0/90/90/90","10","5","135","/18/16/13/1/15/5/13/18/18/18","85","5","/1/0/1/1/0/1/1/0/0/0","13.5","17","2453.388888888888686779"
"6.6.0","win","2023-09-07","13:32:46","R_1Le9eCO9MHcKbci","979721731","1","86407","1","1","1","1","32","10","0","5","305","/55/0/0/40/45/55/0/55/55/0","10","6","83","/11/5/5/8/9/11/1/11/11/11","61","4","/0/1/1/0/0/0/1/0/0/1","8.3000000000000007105","10.1666666666666660745","4290.1818181818180164555"
"6.6.1","win","2023-09-07","10:33:17","R_2c0KSMPiS6xbBoC","979721737","1","118276","1","1","1","1","32","10","0","5","510","/100/0/70/0/90/85/0/70/95/0","10","6","141","/20/16/14/7/18/17/5/14/19/11","102","4","/0/1/0/1/0/0/1/0/0/1","14.0999999999999996447","17","7741.4545454545450411388"
"6.6.1","mac","2023-09-07","13:35:08","R_pN0IAgVmbXqcAdH","979721746","1","47632","1","1","1","1","32","10","0","5","170","/20/0/20/20/25/0/20/25/20/20","10","8","45","/4/6/4/4/5/5/4/5/4/4","34","2","/0/1/0/0/0/1/0/0/0/0","4.5","4.25","4115"
"6.6.1","win","2023-09-07","13:34:23","R_1Ck0nLRI867bdZz","979721723","1","102527","1","1","1","1","32","10","0","5","540","/60/55/50/75/95/0/0/55/65/85","10","8","127","/12/11/10/15/19/12/7/11/13/17","108","2","/0/0/0/0/0/1/1/0/0/0","12.6999999999999992895","13.5","3859.8235294117648663814"
